UTC Date & Time,Speed (KTS)
8/29/2021,10.3
8/30/2021,9.4
8/31/2021,9.9
9/1/2021,9.4
9/2/2021,9.6
9/3/2021,9.7
9/4/2021,10.3
9/5/2021,9.3
9/6/2021,10
9/22/2021,10
9/23/2021,10.3
9/24/2021,9.5
9/27/2021,8.4
9/29/2021,9.9
10/13/2021,10.2
10/15/2021,9.6
10/17/2021,7.9
10/19/2021,9.7
10/20/2021,9.7
10/20/2021,10.4
11/4/2021,9.9
11/5/2021,10.3
11/6/2021,10.3
11/7/2021,9.2
11/8/2021,10.1
11/9/2021,9.8
11/10/2021,9.6
11/10/2021,9.8
11/27/2021,10.1
11/28/2021,9.7
11/30/2021,11.3
12/1/2021,10.2
12/1/2021,10.6
12/3/2021,9.7
12/4/2021,10.2
12/5/2021,10
12/5/2021,10
12/23/2021,10.7
12/24/2002,10.4
12/25/2021,11.3
12/26/2021,11.2
12/27/2021,9.5
12/28/2021,10.4
12/29/2021,9.8
12/29/2021,10.5
1/18/2022,10.7
1/19/2022,10.6
1/20/2022,11.2
1/21/2022,12
1/22/2022,11
1/23/2022,10.6
1/24/2022,10.3
1/25/2022,9.8
1/25/2022,9.8
2/10/2022,11.4
2/11/2022,11.2
2/12/2022,12.4
2/13/2022,11.2
2/14/2022,11.3
2/15/2022,10.9
2/16/2022,10.4
2/16/2022,12.5
3/1/2022,10.5
3/2/2022,10.3
3/5/2022,10.5
3/6/2022,10
3/7/2022,10.5
3/8/2022,10
3/8/2022,9
3/27/2022,10.3
3/28/2022,9.8
3/29/2022,11
3/30/2022,9.6
3/31/2022,9.2
4/1/2022,10.2
4/2/2022,9.8
4/2/2022,12.7
4/20/2022,8.76
4/21/2022,9.63
4/22/2022,9.92
4/23/2022,9.71
4/24/2022,9.71
4/25/2022,9.96
4/26/2022,9.79
4/27/2022,9.79
4/28/2022,9.58
5/17/2022,10
5/18/2022,9.67
5/19/2022,8.38
5/20/2022,9.88
5/21/2022,9.58
5/22/2022,9.75
5/23/2022,10.21
5/24/2022,9.92
5/25/2022,10.1
5/25/2022,10.1
6/5/2022,8.95
6/6/2022,8.71
6/7/2022,9.83
6/8/2022,9.88
6/9/2022,8.79
6/10/2022,10.08
6/11/2022,10.08
6/12/2022,10.13
6/13/2022,9.9
6/30/2022,9.1
7/1/2022,9.25
7/2/2022,10.42
7/3/2022,8.58
7/4/2022,7.04
7/5/2022,7.38
7/6/2022,7.71
7/7/2022,7.5
7/8/2022,8.08
7/9/2022,8.82
07/25/22,9.04
07/26/22,9.08
07/27/22,9.83
07/28/22,10.08
07/29/22,6.67
07/30/22,9.5
07/31/22,9.79
08/01/22,10.75
08/02/22,10.04
08/03/22,10.54
08/04/22,9.7
08/05/22,7.29
08/05/22,8.95
08/07/22,10.46
08/08/22,9.83
08/09/22,9.21
08/10/22,9.5
08/11/22,9.35
08/12/22,10.17
08/13/22,10
08/14/22,9.92
08/15/22,10.54
08/16/22,9.88
08/17/22,9.17
08/17/22,10.21
